RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,city,state_id,state_name,lat,lng,population,density,geometry
394913,1,New York,msa,NY,58.0,43.0,38.0,40.0,43.0,48.0,53.0,55.0,58.0,62.0,72.0,72.0,64.0,51.0,45.0,45.0,49.0,55.0,59.0,59.0,59.0,64.0,74.0,73.0,61.0,49.0,47.0,44.0,38.0,30.0,30.0,31.0,33.0,37.0,47.0,47.0,42.0,30.0,26.0,26.0,29.0,31.0,34.0,35.0,39.0,40.0,44.0,39.0,33.0,24.0,22.0,23.0,26.0,30.0,34.0,35.0,36.0,39.0,47.0,45.0,38.0,27.0,23.0,23.0,24.0,26.0,27.0,27.0,28.0,32.0,37.0,New York,NY,New York,40.6943,-73.9249,18908608,11080.3,POINT (-73.9249 40.6943)
753899,2,Los Angeles,msa,CA,17.0,14.0,15.0,15.0,17.0,19.0,22.0,24.0,27.0,31.0,36.0,35.0,29.0,22.0,20.0,20.0,21.0,22.0,23.0,23.0,24.0,27.0,26.0,22.0,16.0,15.0,15.0,16.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,11.0,14.0,17.0,20.0,22.0,23.0,27.0,32.0,30.0,23.0,16.0,13.0,13.0,13.0,13.0,14.0,15.0,16.0,18.0,19.0,Los Angeles,CA,California,34.1141,-118.4068,11922389,3184.7,POINT (-118.4068 34.1141)
394463,3,Chicago,msa,IL,32.0,17.0,15.0,16.0,18.0,21.0,25.0,30.0,35.0,44.0,53.0,47.0,35.0,20.0,18.0,18.0,21.0,24.0,28.0,33.0,38.0,46.0,54.0,47.0,34.0,22.0,20.0,19.0,16.0,14.0,13.0,13.0,14.0,18.0,20.0,18.0,12.0,8.0,6.0,6.0,7.0,9.0,11.0,12.0,14.0,17.0,17.0,14.0,9.0,6.0,6.0,6.0,8.0,11.0,14.0,15.0,18.0,23.0,27.0,24.0,15.0,9.0,7.0,6.0,7.0,8.0,9.0,10.0,12.0,16.0,18.0,Chicago,IL,Illinois,41.8375,-87.6866,8497759,4614.5,POINT (-87.6866 41.8375)
394514,4,Dallas,msa,TX,27.0,21.0,20.0,20.0,22.0,25.0,28.0,31.0,35.0,38.0,42.0,39.0,35.0,28.0,26.0,26.0,27.0,30.0,33.0,36.0,39.0,42.0,45.0,42.0,35.0,28.0,26.0,26.0,25.0,24.0,23.0,22.0,22.0,22.0,22.0,20.0,17.0,15.0,13.0,13.0,13.0,14.0,16.0,17.0,17.0,17.0,16.0,15.0,11.0,8.0,5.0,6.0,7.0,10.0,13.0,16.0,18.0,23.0,29.0,27.0,21.0,12.0,10.0,10.0,12.0,14.0,17.0,19.0,22.0,27.0,32.0,Dallas,TX,Texas,32.7935,-96.7667,5830932,1478.7,POINT (-96.7667 32.7935)
394692,5,Houston,msa,TX,27.0,19.0,16.0,17.0,19.0,22.0,27.0,31.0,33.0,36.0,39.0,37.0,31.0,24.0,21.0,21.0,23.0,26.0,31.0,34.0,36.0,38.0,42.0,38.0,31.0,24.0,23.0,23.0,20.0,18.0,17.0,16.0,15.0,15.0,15.0,13.0,10.0,8.0,7.0,7.0,7.0,8.0,10.0,11.0,11.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0,9.0,12.0,17.0,20.0,23.0,27.0,33.0,33.0,27.0,19.0,15.0,13.0,14.0,16.0,19.0,22.0,25.0,30.0,36.0,Houston,TX,Texas,29.786,-95.3885,5970127,1384.0,POINT (-95.3885 29.786)
395209,6,Washington,msa,DC,37.0,27.0,24.0,21.0,19.0,18.0,19.0,21.0,24.0,31.0,34.0,28.0,19.0,11.0,10.0,12.0,15.0,17.0,18.0,18.0,21.0,26.0,26.0,20.0,11.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,9.0,7.0,5.0,5.0,5.0,6.0,8.0,10.0,12.0,13.0,16.0,21.0,21.0,17.0,10.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,13.0,13.0,Washington,DC,District of Columbia,38.9047,-77.0163,5116378,4235.7,POINT (-77.0163 38.9047)
394974,7,Philadelphia,msa,PA,46.0,33.0,27.0,29.0,29.0,29.0,27.0,29.0,32.0,37.0,43.0,40.0,31.0,20.0,16.0,17.0,19.0,22.0,23.0,23.0,25.0,32.0,38.0,34.0,23.0,16.0,16.0,15.0,11.0,9.0,12.0,12.0,13.0,11.0,12.0,11.0,8.0,7.0,6.0,6.0,7.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,11.0,11.0,12.0,15.0,17.0,15.0,11.0,8.0,7.0,7.0,8.0,8.0,9.0,10.0,11.0,14.0,16.0,Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5683533,4578.4,POINT (-75.1339 40.0077)
394856,8,Miami,msa,FL,43.0,39.0,38.0,38.0,37.0,37.0,38.0,40.0,42.0,45.0,49.0,50.0,47.0,45.0,45.0,45.0,43.0,43.0,43.0,43.0,43.0,45.0,50.0,48.0,43.0,39.0,41.0,43.0,39.0,33.0,28.0,27.0,26.0,28.0,33.0,33.0,29.0,21.0,16.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,12.0,10.0,10.0,11.0,13.0,16.0,19.0,23.0,25.0,29.0,32.0,33.0,32.0,28.0,25.0,22.0,21.0,21.0,21.0,22.0,25.0,30.0,36.0,Miami,FL,Florida,25.784,-80.2101,6080145,4758.9,POINT (-80.2101 25.784)
394347,9,Atlanta,msa,GA,18.0,12.0,11.0,11.0,12.0,13.0,16.0,18.0,20.0,24.0,27.0,25.0,20.0,15.0,14.0,14.0,16.0,18.0,20.0,22.0,24.0,28.0,32.0,30.0,23.0,17.0,17.0,19.0,19.0,17.0,15.0,14.0,14.0,14.0,12.0,10.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,6.0,7.0,9.0,11.0,14.0,17.0,21.0,27.0,33.0,31.0,23.0,15.0,12.0,12.0,13.0,15.0,16.0,18.0,22.0,27.0,31.0,Atlanta,GA,Georgia,33.7628,-84.422,5180179,1412.3,POINT (-84.422 33.7628)
394404,10,Boston,msa,MA,13.0,9.0,8.0,8.0,9.0,11.0,12.0,13.0,17.0,24.0,28.0,24.0,16.0,11.0,9.0,9.0,11.0,13.0,14.0,15.0,17.0,25.0,27.0,22.0,13.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,11.0,10.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,6.0,8.0,9.0,11.0,10.0,10.0,11.0,15.0,16.0,15.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,11.0,12.0,Boston,MA,Massachusetts,42.3188,-71.0852,4328315,5319.0,POINT (-71.0852 42.3188)
